%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
129612000000,1882,129536000000,map,0.005860573585481657,-1.9770266371002378,0.10027382955023872
129640000000,1883,129604000000,map,0.006239549132022348,-1.956612286347798,0.09991131089924526
129700000000,1884,129668000000,map,0.006514299757898662,-1.9376820062990676,0.1014076662227027
129808000000,1885,129736000000,map,0.0067611058185255285,-1.9176025159504255,0.10162404769615296
129872000000,1886,129804000000,map,0.007462978352488339,-1.8986013871482685,0.10352197573691169
129916000000,1887,129868000000,map,0.007990787646353345,-1.8800142034315455,0.10291354203511821
130004000000,1888,129936000000,map,0.010968445460046508,-1.793447372446443,0.08265846814508548
130068000000,1889,130004000000,map,0.011914228006777744,-1.7733299841602652,0.08231073910548914
130100000000,1890,130068000000,map,0.01248780832792934,-1.751583665132811,0.0814421480553334
130212000000,1891,130136000000,map,0.010023225030697525,-1.7965368144841718,0.10216010071778703
130268000000,1892,130204000000,map,0.010533080843324924,-1.7787636933460949,0.10303762566955438
130352000000,1893,130268000000,map,0.010877031106078794,-1.7583791483916889,0.10350892983392912
130376000000,1894,130336000000,map,0.011081680525522178,-1.7401374520040422,0.10370587776040946
130460000000,1895,130404000000,map,0.012043695463889087,-1.7195712953983793,0.09953474415458308
130556000000,1896,130468000000,map,0.012516545995420902,-1.697771230923664,0.09824237389830248
130612000000,1897,130536000000,map,0.013429969131180233,-1.6739305597514456,0.09692978325587137
130680000000,1898,130604000000,map,0.014647444545049557,-1.6501057132478465,0.0968347420942593
130760000000,1899,130668000000,map,0.009499919347034175,-1.6888085243668989,0.11478300213158238
130828000000,1900,130736000000,map,0.00987505593927454,-1.668929334373155,0.11603685962412164
130880000000,1901,130804000000,map,0.010601820626982214,-1.6472413974909423,0.11515648955565144
130932000000,1902,130868000000,map,0.01078869808000589,-1.6283500539266098,0.11576577116239778
131012000000,1903,130936000000,map,0.016973209554178345,-1.547798458366162,0.09601869175747269
131080000000,1904,131004000000,map,0.017537167196726516,-1.5265020545793277,0.09433107838962429
131128000000,1905,131068000000,map,0.017444707957402633,-1.5050765551857963,0.09413421030297653
131204000000,1906,131136000000,map,0.017474930675872302,-1.484212792582906,0.09367260588262977
131272000000,1907,131204000000,map,0.017717902899625354,-1.463728646357922,0.09548296889597424
